Date,Open,High,Low,Close,Adj Close,Volume
2012-09-13,204.380005,206.809998,203.460007,206.360001,176.701584,3879600
2012-09-14,206.240005,207.649994,206.050003,206.809998,177.086899,4057100
2012-09-17,205.550003,207.990005,205.550003,207.149994,177.378021,3275100
2012-09-18,206.880005,207.880005,206.479996,207.070007,177.309540,2476100
2012-09-19,207.550003,207.570007,206.009995,206.429993,176.761520,2605600
2012-09-20,205.850006,206.990005,205.300003,206.179993,176.547455,3739100
2012-09-21,207.360001,207.940002,205.919998,205.979996,176.376175,12771500
2012-09-24,205.020004,206.059998,204.899994,205.289993,175.785355,3511100
2012-09-25,205.600006,207.320007,204.949997,204.979996,175.519928,3345200
2012-09-26,205.050003,205.979996,203.899994,204.000000,174.680756,3423300
2012-09-27,204.369995,206.899994,204.139999,205.910004,176.316269,2771900
2012-09-28,205.660004,208.320007,205.309998,207.449997,177.634933,4910900
2012-10-01,208.009995,211.750000,207.940002,210.470001,180.220917,5456900
2012-10-02,210.960007,211.470001,208.500000,209.839996,179.681412,3321000
2012-10-03,209.940002,211.300003,209.300003,210.509995,180.255127,3192300
2012-10-04,210.279999,210.970001,208.529999,210.389999,180.152420,2957500
2012-10-05,211.149994,211.789993,210.059998,210.589996,180.323593,2858400
2012-10-08,210.020004,210.639999,209.210007,209.820007,179.664291,1982600
2012-10-09,209.949997,210.740005,207.699997,207.990005,178.097260,3580400
2012-10-10,207.820007,208.229996,205.050003,205.820007,176.239212,4024500
2012-10-11,206.570007,207.270004,205.630005,205.759995,176.187820,2910000
2012-10-12,205.639999,207.960007,205.559998,207.800003,177.934586,2712000
2012-10-15,208.880005,209.399994,207.820007,208.929993,178.902191,3060900
2012-10-16,209.940002,211.000000,209.470001,211.000000,180.674698,5632100
2012-10-17,201.210007,203.410004,198.550003,200.630005,171.795090,12673900
2012-10-18,199.910004,200.139999,194.070007,194.960007,166.940002,9295900
2012-10-19,195.289993,196.080002,193.179993,193.360001,165.569992,6620300
2012-10-22,193.710007,194.679993,192.440002,194.399994,166.460464,4402500
2012-10-23,193.529999,194.000000,190.940002,191.250000,163.763199,4427400
2012-10-24,192.440002,193.289993,190.559998,190.720001,163.309372,3738000
2012-10-25,191.410004,192.440002,190.710007,191.600006,164.062927,3249600
2012-10-26,191.490005,193.869995,191.470001,193.270004,165.492905,4006500
2012-10-31,194.800003,196.410004,193.630005,194.529999,166.571793,6052300
2012-11-01,194.679993,197.889999,194.550003,197.149994,168.815231,3758800
2012-11-02,197.529999,198.000000,193.289993,193.429993,165.629913,4260100
2012-11-05,192.360001,194.970001,192.009995,194.139999,166.237854,2736200
2012-11-06,195.259995,196.750000,194.679993,195.070007,167.034210,3281000
2012-11-07,193.360001,193.679993,191.160004,191.160004,164.402527,4746200
2012-11-08,191.399994,191.809998,190.089996,190.100006,163.490891,3542200
2012-11-09,189.850006,191.639999,188.880005,189.639999,163.095276,3671600
2012-11-12,190.029999,190.770004,187.410004,189.250000,162.759872,3067400
2012-11-13,188.389999,190.880005,188.250000,188.320007,161.960052,3406700
2012-11-14,189.139999,189.270004,185.279999,185.509995,159.543350,4404400
2012-11-15,185.830002,187.199997,184.779999,185.850006,159.835785,3411700
2012-11-16,186.330002,187.559998,185.100006,186.940002,160.773224,4660800
2012-11-19,188.619995,190.389999,188.300003,190.350006,163.705917,3588900
2012-11-20,189.880005,190.110001,188.250000,189.199997,162.716827,3170200
2012-11-21,189.300003,190.889999,188.949997,190.289993,163.654297,5189600
2012-11-23,191.000000,193.490005,190.800003,193.490005,166.406357,3877600
2012-11-26,192.449997,193.369995,191.770004,192.880005,165.881775,5210300
2012-11-27,192.080002,193.050003,191.000000,191.229996,164.462692,3290900
2012-11-28,190.979996,192.039993,189.270004,191.979996,165.107727,3603600
2012-11-29,192.750000,192.899994,190.199997,191.529999,164.720734,4077900
2012-11-30,191.750000,192.000000,189.500000,190.070007,163.465073,4936400
2012-12-03,190.759995,191.300003,188.360001,189.479996,162.957703,3349600
2012-12-04,189.710007,190.750000,189.020004,189.360001,162.854477,3990700
2012-12-05,189.009995,189.460007,186.940002,188.649994,162.243851,4202100
2012-12-06,189.169998,190.179993,188.410004,189.699997,163.146851,3216600
2012-12-07,190.139999,192.199997,190.110001,191.949997,165.081940,4091300
2012-12-10,192.169998,193.539993,191.649994,192.619995,165.658142,3438500
2012-12-11,193.179993,194.800003,193.149994,194.199997,167.016998,4144000
2012-12-12,194.600006,194.750000,192.460007,192.949997,165.941956,4241900
2012-12-13,192.179993,193.050003,191.369995,191.990005,165.116333,3623200
2012-12-14,191.690002,193.399994,191.259995,191.759995,164.918549,3826900
2012-12-17,191.759995,193.910004,191.759995,193.619995,166.518143,3792400
2012-12-18,193.850006,195.919998,193.839996,195.690002,168.298462,4125900
2012-12-19,195.460007,196.449997,195.000000,195.080002,167.773819,4270500
2012-12-20,194.470001,194.949997,193.160004,194.770004,167.507217,4184500
2012-12-21,193.100006,194.500000,191.570007,193.419998,166.346146,8225300
2012-12-24,193.050003,193.830002,192.020004,192.399994,165.468948,1631200
2012-12-26,192.210007,193.529999,190.949997,191.949997,165.081940,2776500
2012-12-27,191.529999,193.279999,190.699997,192.710007,165.735535,3967600
2012-12-28,191.110001,192.220001,189.830002,189.830002,163.258682,3536600
2012-12-31,189.229996,191.679993,188.839996,191.550003,164.737915,4684900
2013-01-02,194.089996,196.350006,193.800003,196.350006,168.866058,4234100
2013-01-03,195.669998,196.289993,194.440002,195.270004,167.937195,3644700
2013-01-04,194.190002,194.460007,192.779999,193.990005,166.836380,3380200
2013-01-07,193.399994,193.779999,192.339996,193.139999,166.105377,2862300
2013-01-08,192.919998,193.300003,191.600006,192.869995,165.873154,3026900
2013-01-09,193.479996,193.490005,191.649994,192.320007,165.400131,3212000
2013-01-10,192.649994,192.960007,191.279999,192.880005,165.881775,3608100
2013-01-11,194.149994,195.000000,192.899994,194.449997,167.232010,3880400
2013-01-14,192.820007,193.279999,191.750000,192.619995,165.658142,4172200
2013-01-15,191.309998,192.729996,190.389999,192.500000,165.554947,4172100
2013-01-16,192.000000,193.179993,191.350006,192.589996,165.632324,2962900
2013-01-17,193.850006,194.460007,193.240005,193.649994,166.543976,3881600
